chunk_vid_id,chunk_vid_duration,chunk_vid_dimention,chunk_vid_definition,chunk_vid_caption,chunk_vid_licensedContent,chunk_vid_projection
Yo84eqYwP98,PT59M1S,2d,hd,FALSE,TRUE,rectangular
QDkLaDDJhG8,PT23M44S,2d,hd,TRUE,TRUE,rectangular
YW-EAR8N7y8,PT3M6S,2d,hd,FALSE,TRUE,rectangular
zCt_jjE_7O8,PT1H59M54S,2d,hd,TRUE,TRUE,rectangular
kOnQocd799Y,PT15M24S,2d,hd,FALSE,TRUE,rectangular
gHZ1Qz0KiKM,PT13M53S,2d,hd,TRUE,TRUE,rectangular
QUUOLFAbJ6A,PT25S,2d,sd,FALSE,FALSE,rectangular
K6EZV-_Up34,PT7M41S,2d,hd,FALSE,FALSE,rectangular
1KHCqtTC0EQ,PT1M51S,2d,hd,FALSE,TRUE,rectangular
j1yVXcJxmSA,PT3M14S,2d,hd,TRUE,TRUE,rectangular
eDwaOTkIDGQ,PT3M9S,2d,hd,FALSE,TRUE,rectangular
O_adY_b-aLQ,PT9M3S,2d,hd,FALSE,TRUE,rectangular
ocZqvs7gUzc,PT4M19S,2d,hd,FALSE,TRUE,rectangular
lT47mzF3QVM,PT2M58S,2d,sd,FALSE,FALSE,rectangular
8ORvJcpe2Oc,PT3M48S,2d,hd,FALSE,TRUE,rectangular
F6HTw5DU670,PT13M39S,2d,hd,TRUE,TRUE,rectangular
ujyTQNNjjDU,PT4M21S,2d,hd,FALSE,TRUE,rectangular
lnFaRuWOLN0,PT4M33S,2d,hd,FALSE,TRUE,rectangular
ecCjoMFSIZA,PT7M34S,2d,hd,FALSE,TRUE,rectangular
HRlh-U718I0,PT10M26S,2d,hd,FALSE,TRUE,rectangular
pVu4zRW5eso,PT17M3S,2d,hd,TRUE,TRUE,rectangular
JdHovvb0KD4,PT5M20S,2d,hd,FALSE,TRUE,rectangular
QEBTK5_dRZ0,PT5M56S,2d,hd,TRUE,TRUE,rectangular
O-_52G3aKVU,PT29S,2d,hd,FALSE,FALSE,rectangular
4ILpUbtNw8I,PT10M44S,2d,hd,FALSE,TRUE,rectangular
1kuJkA9usqg,PT20M9S,2d,hd,FALSE,TRUE,rectangular
p2hJxyF7mok,PT1M13S,2d,hd,FALSE,FALSE,rectangular
wiXhcwpMU1I,PT5M13S,2d,hd,FALSE,TRUE,rectangular
v0Gku2iX2rY,PT48M17S,2d,hd,FALSE,FALSE,rectangular
B5HORANmzHw,PT5M18S,2d,hd,TRUE,TRUE,rectangular
woJJNz1ZAV0,PT22M18S,2d,hd,FALSE,FALSE,rectangular
8tbQHHso0oY,PT33S,2d,hd,FALSE,TRUE,rectangular
w5qMOyPuUqU,PT20M25S,2d,hd,FALSE,TRUE,rectangular
NVCqz2BDfcQ,PT2M42S,2d,hd,FALSE,TRUE,rectangular
TpIqNpWtKEU,PT13M27S,2d,hd,TRUE,TRUE,rectangular
o4qUbIZn538,PT2M9S,2d,hd,FALSE,TRUE,rectangular
ceqntSXE-10,PT10M49S,2d,hd,FALSE,TRUE,rectangular
skhu76iBvtU,PT10M54S,2d,hd,FALSE,TRUE,rectangular
